0.000000	10.000000	180.000000	10.000000
0.000000	10.000000	180.000000	10.000000
0.000000	10.000000	180.000000	10.000000
1.000000	10.521837	1.476041	10.569250
1.000000	10.521837	1.476041	10.569250
1.000000	10.521837	1.476041	10.569250
2.000000	11.039193	1.391568	11.218903
2.000000	11.039193	1.391568	11.218903
2.000000	11.039193	1.391568	11.218903
3.000000	11.550640	1.316685	11.933871
3.000000	11.550640	1.316685	11.933871
3.000000	11.550640	1.316685	11.933871
4.000000	12.054757	1.250409	12.701070
4.000000	12.054757	1.250409	12.701070
4.000000	12.054757	1.250409	12.701070
5.000000	12.550138	1.191668	13.509476
5.000000	12.550138	1.191668	13.509476
5.000000	12.550138	1.191668	13.509476
6.000000	13.035389	1.139422	14.349960
6.000000	13.035389	1.139422	14.349960
7.000000	13.509141	1.092720	15.215022
7.000000	13.509141	1.092720	15.215022
7.000000	13.509141	1.092720	15.215022
8.000000	13.970047	1.050727	16.098516
8.000000	13.970047	1.050727	16.098516
8.000000	13.970047	1.050727	16.098516
9.000000	14.416789	1.012721	16.995405
9.000000	14.416789	1.012721	16.995405
9.000000	14.416789	1.012721	16.995405
10.000000	14.848078	0.978086	17.901548
10.000000	14.848078	0.978086	17.901548
10.000000	14.848078	0.978086	17.901548
11.000000	15.262662	0.946304	18.813529
11.000000	15.262662	0.946304	18.813529
11.000000	15.262662	0.946304	18.813529
12.000000	15.659329	0.916934	19.728522
12.000000	15.659329	0.916934	19.728522
13.000000	16.036905	0.889607	20.644183
13.000000	16.036905	0.889607	20.644183
13.000000	16.036905	0.889607	20.644183
14.000000	16.394263	0.864009	21.558568
14.000000	16.394263	0.864009	21.558568
14.000000	16.394263	0.864009	21.558568
15.000000	16.730326	0.839876	22.470065
15.000000	16.730326	0.839876	22.470065
15.000000	16.730326	0.839876	22.470065
16.000000	17.044065	0.816984	23.377343
16.000000	17.044065	0.816984	23.377343
16.000000	17.044065	0.816984	23.377343
17.000000	17.334507	0.795140	24.279315
17.000000	17.334507	0.795140	24.279315
17.000000	17.334507	0.795140	24.279315
18.000000	17.600735	0.774184	25.175104
